shapeID,name,sol,pop,area_km2,parent,sol_0,growth,abs_change,z_robust,flag
11933810B89916598335200,المرسى,5687.87,101337,30.1864,Tunis,4376.48,0.0295496,1311.4,-0.295111,within normal range · dans la plage normale
11933810B30611491582390,المطوية,1828.36,28824.3,409.634,Gabès,1169.96,0.0508567,658.403,0.510213,within normal range · dans la plage normale
11933810B38388231155929,المضيلة,1072.1,16758.3,643.037,Gafsa,1074.88,-0.000287681,-2.77981,-1.42284,within normal range · dans la plage normale
11933810B11969920480260,القطار,1524.38,20393.7,928.187,Gafsa,1258.85,0.0214933,265.531,-0.599607,within normal range · dans la plage normale
11933810B88432623246130,قبلي الشمالية,4920.24,58418.6,1818.68,Kébili,3314.64,0.0448672,1605.6,0.283834,within normal range · dans la plage normale
11933810B29604582719412,باجة الجنوبية,2275.7,33870.1,363.628,Béja,1560.86,0.0427844,714.84,0.205112,within normal range · dans la plage normale
11933810B6535547360334,القصرين الشمالية,3480.09,71379.6,97.3917,Kasserine,2521.4,0.0364537,958.692,-0.034164,within normal range · dans la plage normale
11933810B95103152566623,باردو,2315.89,97911,7.55495,Tunis,2052.95,0.013481,262.944,-0.902439,within normal range · dans la plage normale
11933810B5544515796376,الميدة,1372.09,28742.8,151.675,Nabeul,782.939,0.0643215,589.154,1.01913,within normal range · dans la plage normale
11933810B20435458440644,حفوز,1206.1,36179.4,608.632,Kairouan,941.465,0.0279051,264.63,-0.357266,within normal range · dans la plage normale
11933810B76458029989338,شربان,739.986,22454.5,444.083,Mahdia,727.125,0.00194996,12.8607,-1.33826,within normal range · dans la plage normale
11933810B30403367882459,مكثر,1211.99,27453.9,340.737,Siliana,935.449,0.0291947,276.538,-0.308524,within normal range · dans la plage normale
11933810B81248278761241,بن عروس,2150.59,49949.6,6.765,Ben Arous,1371.86,0.0512208,778.721,0.523973,within normal range · dans la plage normale
